Total population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Tonga,"84,369","85,518","86,347","86,982","87,606","88,343","89,252","90,290","91,354","92,292","92,999","93,443","93,673","93,766","93,829","93,944","94,139","94,392","94,674","94,938","95,150","95,305","95,426","95,541","95,691","95,907","96,196","96,551","96,966","97,431","97,935","98,476","99,053","99,659","100,286","100,926","101,584","102,254","102,910","103,519","104,058","104,509","104,891","105,265"
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,"967,658","977,679","985,548","992,348","999,650","1,008,617","1,019,403","1,031,694","1,045,600","1,061,140","1,078,200","1,097,067","1,117,461","1,138,006","1,156,858","1,172,735","1,185,012","1,194,138","1,201,224","1,207,942","1,215,494","1,224,233","1,233,753","1,243,590","1,253,000","1,261,443","1,268,851","1,275,460","1,281,396","1,286,871","1,292,058","1,296,962","1,301,576","1,306,065","1,310,622","1,315,386","1,320,418","1,325,672","1,331,040","1,336,349","1,341,465","1,346,350","1,350,999","1,355,342"
Tunisia,"5,127,001","5,226,965","5,326,668","5,430,023","5,542,400","5,667,516","5,806,713","5,958,456","6,120,018","6,287,287","6,457,092","6,628,154","6,800,734","6,974,955","7,151,430","7,330,267","7,511,099","7,692,463","7,872,065","8,047,027","8,215,111","8,375,587","8,528,401","8,672,916","8,808,669","8,935,523","9,053,410","9,162,870","9,265,266","9,362,447","9,456,117","9,546,453","9,634,180","9,722,180","9,814,009","9,912,114","10,017,832","10,130,368","10,247,325","10,365,089","10,480,934","10,594,057","10,704,948","10,813,680"
Turkey,"35,464,196","36,245,756","37,054,168","37,884,870","38,730,367","39,585,821","40,446,729","41,316,297","42,206,204","43,132,612","44,105,216","45,130,008","46,198,027","47,285,732","48,360,679","49,399,630","50,393,538","51,349,154","52,278,499","53,200,802","54,130,268","55,068,880","56,012,109","56,959,988","57,911,273","58,864,649","59,821,978","60,783,217","61,742,674","62,692,616","63,627,862","64,544,914","65,446,165","66,339,433","67,235,927","68,143,186","69,063,538","69,992,754","70,923,730","71,846,212","72,752,325","73,639,596","74,508,771","75,359,032"
Turkmenistan,"2,188,499","2,252,386","2,318,070","2,385,039","2,452,528","2,520,002","2,587,417","2,655,036","2,723,006","2,791,575","2,861,000","2,931,343","3,002,785","3,075,867","3,151,262","3,229,499","3,310,059","3,392,823","3,479,088","3,570,558","3,668,000","3,772,350","3,881,973","3,991,917","4,095,512","4,188,010","4,267,690","4,335,991","4,395,293","4,449,427","4,501,419","4,551,737","4,600,093","4,647,912","4,696,771","4,747,839","4,801,847","4,858,843","4,918,396","4,979,672","5,041,995","5,105,301","5,169,660","5,234,640"
Turks and Caicos Islands,"5,632","5,750","5,924","6,132","6,346","6,546","6,723","6,886","7,057","7,262","7,525","7,855","8,244","8,670","9,096","9,501","9,872","10,222","10,587","11,018","11,549","12,216","13,005","13,848","14,644","15,333","15,859","16,275","16,763","17,573","18,873","20,728","23,044","25,625","28,191","30,531","32,590","34,404","35,960","37,271","38,354","39,184","39,761","40,159"
Tuvalu,"7,296","7,379","7,459","7,538","7,613","7,685","7,752","7,816","7,883","7,959","8,051","8,160","8,284","8,413","8,537","8,648","8,741","8,821","8,889","8,949","9,004","9,056","9,103","9,148","9,188","9,227","9,264","9,298","9,334","9,374","9,419","9,471","9,530","9,590","9,646","9,694","9,732","9,762","9,786","9,806","9,827","9,847","9,867","9,888"
Uganda,"9,445,932","9,730,174","10,012,125","10,296,444","10,589,763","10,897,136","11,221,247","11,561,734","11,917,048","12,284,315","12,662,131","13,049,012","13,447,769","13,866,291","14,315,090","14,801,113","15,327,718","15,891,143","16,482,365","17,088,426","17,699,717","18,314,701","18,935,726","19,561,967","20,193,432","20,831,075","21,473,592","22,123,185","22,788,843","23,482,533","24,213,120","24,984,181","25,794,397","26,641,627","27,521,632","28,431,204","29,370,251","30,339,895","31,339,392","32,367,909","33,424,683","34,509,205","35,620,977","36,759,274"
Ukraine,"47,316,501","47,685,533","48,050,256","48,401,549","48,726,373","49,015,998","49,266,997","49,484,239","49,677,426","49,860,466","50,043,550","50,227,328","50,408,687","50,589,152","50,769,702","50,949,364","51,128,208","51,301,215","51,455,595","51,574,638","51,644,914","51,666,114","51,637,719","51,546,666","51,377,434","51,121,722","50,773,323","50,342,838","49,860,125","49,366,106","48,891,792","48,448,267","48,032,368","47,643,278","47,275,250","46,923,927","46,591,797","46,282,158","45,991,584","45,715,010","45,448,329","45,190,180","44,940,268","44,696,741"
United Arab Emirates,"231,754","272,529","322,868","383,152","453,530","533,554","624,390","724,684","828,378","927,412","1,016,228","1,092,153","1,157,336","1,217,021","1,279,010","1,349,000","1,428,788","1,516,782","1,611,257","1,709,232","1,808,642","1,909,812","2,014,095","2,121,704","2,232,980","2,348,539","2,473,983","2,611,610","2,755,497","2,897,038","3,033,491","3,149,440","3,254,691","3,400,959","3,658,042","4,069,349","4,662,728","5,405,541","6,206,623","6,938,815","7,511,690","7,890,924","8,105,873","8,207,940"
United Kingdom,"55,645,390","55,819,499","55,964,697","56,081,455","56,170,690","56,234,250","56,273,041","56,290,629","56,295,032","56,296,406","56,303,011","56,317,534","56,341,308","56,379,327","56,436,762","56,516,908","56,622,956","56,753,658","56,902,081","57,058,173","57,214,474","57,369,629","57,525,459","57,681,639","57,838,596","57,997,210","58,156,871","58,318,771","58,488,026","58,671,413","58,874,117","59,097,129","59,339,971","59,604,347","59,891,788","60,202,727","60,538,143","60,896,101","61,270,318","61,652,315","62,035,570","62,417,431","62,798,099","63,177,406"
United States,"209,463,865","211,355,529","213,250,350","215,164,616","217,113,584","219,108,358","221,161,377","223,274,855","225,436,004","227,624,232","229,825,004","232,035,086","234,261,242","236,510,688","238,794,274","241,119,752","243,495,805","245,920,994","248,381,577","250,857,751","253,339,097","255,807,342","258,275,919","260,803,255","263,468,980","266,323,717","269,393,632","272,643,340","275,986,072","279,300,030","282,496,310","285,544,778","288,467,308","291,290,823","294,063,120","296,820,296","299,564,470","302,284,564","304,989,064","307,686,729","310,383,948","313,085,380","315,791,284","318,497,630"
Uruguay,"2,809,117","2,817,577","2,820,734","2,821,367","2,823,326","2,829,391","2,840,601","2,856,206","2,874,998","2,894,983","2,914,683","2,933,904","2,953,118","2,972,284","2,991,478","3,010,766","3,029,948","3,048,955","3,068,166","3,088,110","3,109,122","3,131,140","3,153,857","3,177,035","3,200,342","3,223,401","3,246,484","3,269,301","3,290,261","3,307,290","3,319,066","3,324,810","3,325,379","3,323,124","3,321,367","3,322,529","3,327,451","3,335,528","3,345,967","3,357,391","3,368,786","3,380,008","3,391,428","3,403,117"
USSR,"242,478,113","244,886,536","247,343,292","249,712,380","252,110,639","254,518,689","256,882,729","259,225,085","261,524,905","263,750,613","265,935,636","268,142,258","270,418,758","272,856,014","275,379,897","277,873,515","280,369,405","282,805,060","285,120,160","286,578,215","288,544,755","290,113,614","291,118,372","291,429,616","291,345,858","291,150,213","290,875,610","290,527,071","290,173,084","289,692,659","289,112,747","288,520,632","287,977,722","287,600,977","287,360,520","287,263,911","287,266,522","287,330,757","287,447,373",,,,,
Uzbekistan,"11,972,994","12,358,535","12,759,275","13,168,838","13,578,159","13,980,997","14,374,729","14,762,133","15,148,932","15,543,520","15,951,899","16,375,762","16,812,955","17,260,951","17,715,706","18,174,143","18,634,041","19,095,670","19,561,181","20,033,912","20,515,248","21,005,364","21,500,062","21,990,917","22,466,866","22,919,357","23,347,452","23,751,722","24,127,427","24,469,439","24,775,610","25,042,537","25,275,028","25,489,492","25,708,188","25,947,414","26,213,729","26,503,833","26,811,974","27,128,063","27,444,702","27,760,267","28,077,486","28,398,155"
Wallis et Futuna,"8,841","8,792","8,775","8,809","8,919","9,118","9,412","9,793","10,240","10,728","11,232","11,751","12,278","12,778","13,207","13,534","13,742","13,843","13,869","13,870","13,882","13,914","13,957","14,013","14,077","14,146","14,224","14,311","14,396","14,462","14,499","14,503","14,477","14,424","14,345","14,247","14,128","13,989","13,843","13,698","13,566","13,450","13,348","13,263"
Vanuatu,"85,393","88,029","90,831","93,768","96,799","99,886","103,031","106,231","109,436","112,587","115,641","118,584","121,438","124,252","127,097","130,030","133,041","136,129","139,368","142,852","146,636","150,791","155,270","159,857","164,254","168,263","171,783","174,921","177,946","181,239","185,074","189,544","194,555","199,968","205,561","211,170","216,760","222,377","228,041","233,790","239,651","245,619","251,674","257,812"
Venezuela,"10,680,678","11,045,959","11,428,022","11,827,681","12,245,478","12,681,017","13,135,849","13,607,958","14,088,961","14,567,680","15,036,273","15,490,555","15,932,973","16,370,463","16,813,481","17,269,324","17,740,108","18,222,505","18,711,830","19,201,096","19,685,177","20,162,745","20,635,233","21,103,592","21,569,680","22,034,909","22,499,248","22,962,221","23,424,338","23,886,213","24,348,304","24,810,691","25,273,336","25,736,393","26,199,994","26,664,122","27,128,721","27,593,427","28,057,485","28,519,913","28,979,857","29,436,891","29,890,694","30,340,637"
West Bank and Gaza,"1,124,591","1,144,161","1,180,264","1,227,284","1,276,627","1,322,064","1,362,064","1,398,736","1,433,821","1,470,297","1,510,360","1,554,600","1,602,309","1,652,945","1,705,584","1,759,763","1,815,117","1,872,515","1,934,197","2,003,149","2,081,424","2,169,061","2,265,030","2,368,849","2,479,672","2,596,289","2,719,644","2,848,359","2,976,131","3,094,711","3,198,560","3,284,920","3,356,379","3,419,418","3,483,483","3,555,582","3,637,689","3,728,259","3,826,546","3,930,672","4,039,192","4,152,369","4,270,791","4,393,572"
West Germany,,,,"61,976,000",,,,,,,,,,,,,,,,,"63,254,000","63,889,000",,,,,,,,,,,,,,,,,"65,794,308",,,,,
Western Sahara,"76,691","76,196","73,333","70,287","70,089","74,789","85,344","100,766","118,776","136,080","150,303","160,677","167,963","173,189","178,007","183,630","190,327","197,692","205,489","213,285","220,794","228,137","235,580","243,167","250,946","259,049","267,217","275,674","285,582","298,482","315,340","336,758","362,070","389,412","416,172","440,469","461,610","480,140","496,923","513,367","530,500","548,377","566,613","585,270"
Vietnam,"44,927,973","45,957,991","46,994,771","48,015,047","48,987,973","49,895,731","50,724,015","51,490,844","52,250,324","53,076,862","54,023,152","55,109,176","56,317,461","57,616,926","58,959,045","60,307,305","61,647,642","62,986,915","64,333,357","65,702,500","67,101,583","68,535,628","69,987,617","71,416,812","72,769,366","74,008,073","75,117,209","76,111,109","77,020,331","77,890,899","78,758,010","79,629,676","80,500,625","81,377,056","82,262,996","83,161,145","84,075,580","85,007,447","85,951,912","86,901,173","87,848,445","88,791,996","89,730,274","90,656,550"
Virgin Islands (U.S.),"64,070","68,102","72,610","77,310","81,802","85,790","89,169","92,008","94,399","96,498","98,423","100,216","101,827","103,177","104,146","104,668","104,698","104,319","103,761","103,333","103,253","103,618","104,356","105,315","106,260","107,018","107,546","107,903","108,132","108,316","108,511","108,726","108,933","109,122","109,270","109,363","109,401","109,389","109,327","109,216","109,056","108,846","108,590","108,300"
Yemen Arab Republic (Former),"4,879,841","4,965,745","5,055,281","5,155,283","5,272,472","5,415,204","5,584,792","5,780,804","5,999,643","6,234,888","6,483,356","6,744,025","7,020,166","7,308,918","7,607,948","7,916,723","8,230,596","8,550,331","8,890,605","9,223,805","9,632,403",,,,,,,,,,,,,,,,,,"17,838,691",,,,,
Yemen Democratic (Former),"1,510,883","1,544,337","1,576,737","1,608,619","1,642,894","1,678,236","1,716,446","1,756,682","1,799,690","1,846,960","1,897,991","1,955,071","2,016,475","2,082,072","2,150,320","2,219,923","2,289,918","2,362,194","2,438,167","2,567,440","2,681,173",,,,,,,,,,,,,,,,,,"4,965,387",,,,,
"Yemen, Rep.","6,144,992","6,235,264","6,323,380","6,419,984","6,539,217","6,691,425","6,880,620","7,104,782","7,360,655","7,642,329","7,945,180","8,270,681","8,620,116","8,988,432","9,369,068","9,758,220","10,149,222","10,544,972","10,962,489","11,425,336","11,948,209","12,540,234","13,190,192","13,867,656","14,530,275","15,148,172","15,710,211","16,226,938","16,716,850","17,208,494","17,723,186","18,266,008","18,831,819","19,419,710","20,026,117","20,648,643","21,288,070","21,946,990","22,626,595","23,328,214","24,052,514","24,799,880","25,569,263","26,358,020"
Yugoslavia,"19,839,733","20,014,589","20,197,487","20,367,416","20,549,749","20,732,000","20,929,536","21,125,829","21,309,215","21,490,291","21,615,000","21,707,267","21,884,748","22,018,103","22,086,851","22,216,101","22,339,382","22,435,224","22,536,381","22,634,445","22,719,621","23,068,157","23,086,612","22,921,437","22,916,714","23,025,391","23,046,512","23,077,312","23,247,390","23,273,003","23,321,566","23,443,852","23,520,190","23,610,989","23,719,918","23,811,905","23,887,171","23,946,096","23,988,543",,,,,
Zambia,"4,138,837","4,278,863","4,426,079","4,579,560","4,737,942","4,900,255","5,066,012","5,235,519","5,409,528","5,589,172","5,775,165","5,967,511","6,165,560","6,368,542","6,575,403","6,785,211","6,998,307","7,214,499","7,431,752","7,647,450","7,860,053","8,067,972","8,272,498","8,478,471","8,692,599","8,919,456","9,161,931","9,418,120","9,682,058","9,945,115","10,201,562","10,449,825","10,693,471","10,938,261","11,192,422","11,462,365","11,750,105","12,055,384","12,379,612","12,723,746","13,088,570","13,474,959","13,883,577","14,314,515"
Zimbabwe,"5,206,229","5,385,233","5,573,154","5,768,190","5,967,705","6,170,260","6,374,197","6,581,329","6,797,807","7,032,001","7,289,463","7,571,447","7,874,642","8,194,203","8,523,090","8,855,279","9,189,169","9,523,376","9,852,244","10,169,188","10,469,202","10,748,215","11,005,690","11,244,552","11,469,872","11,684,693","11,891,290","12,086,519","12,261,742","12,405,236","12,509,477","12,575,015","12,607,791","12,612,956","12,597,877","12,570,686","12,529,655","12,481,245","12,451,543","12,473,992","12,571,454","12,754,378","13,013,678","13,327,925"
